Team/Country,Name,Discipline,Event,Total Gold,Total Silver,Total Bronze,Total Medals
Great Britain,Great Britain,Rugby Sevens,Women,22,21,22,65
Ireland,Ireland,Rugby Sevens,Men,2,0,2,4
Japan,Japan,Rugby Sevens,Men,27,14,17,58
Japan,Japan,Rugby Sevens,Women,27,14,17,58
Kenya,Kenya,Rugby Sevens,Men,4,4,2,10
Kenya,Kenya,Rugby Sevens,Women,4,4,2,10
New Zealand,New Zealand,Rugby Sevens,Men,7,6,7,20
New Zealand,New Zealand,Rugby Sevens,Women,7,6,7,20
Republic of Korea,Republic of Korea,Rugby Sevens,Men,6,4,10,20
ROC,ROC,Rugby Sevens,Women,20,28,23,71
South Africa,South Africa,Rugby Sevens,Men,1,2,0,3
United States of America,United States,Rugby Sevens,Men,39,41,33,113
United States of America,United States,Rugby Sevens,Women,39,41,33,113
Australia,Australia,Swimming,Men's 4 x 100m Freestyle Relay,17,7,22,46
Australia,Australia,Swimming,Men's 4 x 100m Medley Relay,17,7,22,46
Australia,Australia,Swimming,Men's 4 x 200m Freestyle Relay,17,7,22,46
Australia,Australia,Swimming,Mixed 4 x 100m Medley Relay,17,7,22,46
Australia,Australia,Swimming,Women's 4 x 100m Freestyle Relay,17,7,22,46
Australia,Australia,Swimming,Women's 4 x 100m Medley Relay,17,7,22,46
Australia,Australia,Swimming,Women's 4 x 200m Freestyle Relay,17,7,22,46
Belarus,Belarus,Swimming,Men's 4 x 100m Medley Relay,1,3,3,7
Belarus,Belarus,Swimming,Mixed 4 x 100m Medley Relay,1,3,3,7
Belarus,Belarus,Swimming,Women's 4 x 100m Medley Relay,1,3,3,7
Brazil,Brazil,Swimming,Men's 4 x 100m Freestyle Relay,7,6,8,21
Brazil,Brazil,Swimming,Men's 4 x 100m Medley Relay,7,6,8,21
Brazil,Brazil,Swimming,Men's 4 x 200m Freestyle Relay,7,6,8,21
Brazil,Brazil,Swimming,Mixed 4 x 100m Medley Relay,7,6,8,21
Brazil,Brazil,Swimming,Women's 4 x 100m Freestyle Relay,7,6,8,21
Brazil,Brazil,Swimming,Women's 4 x 200m Freestyle Relay,7,6,8,21
Canada,Canada,Swimming,Men's 4 x 100m Freestyle Relay,7,6,11,24
Canada,Canada,Swimming,Men's 4 x 100m Medley Relay,7,6,11,24
Canada,Canada,Swimming,Mixed 4 x 100m Medley Relay,7,6,11,24
Canada,Canada,Swimming,Women's 4 x 100m Freestyle Relay,7,6,11,24
Canada,Canada,Swimming,Women's 4 x 100m Medley Relay,7,6,11,24
Canada,Canada,Swimming,Women's 4 x 200m Freestyle Relay,7,6,11,24
People's Republic of China,China,Swimming,Men's 4 x 100m Medley Relay,38,32,18,88
People's Republic of China,China,Swimming,Men's 4 x 200m Freestyle Relay,38,32,18,88
People's Republic of China,China,Swimming,Mixed 4 x 100m Medley Relay,38,32,18,88
People's Republic of China,China,Swimming,Women's 4 x 100m Freestyle Relay,38,32,18,88
People's Republic of China,China,Swimming,Women's 4 x 100m Medley Relay,38,32,18,88
People's Republic of China,China,Swimming,Women's 4 x 200m Freestyle Relay,38,32,18,88
Czech Republic,Czech Republic,Swimming,Women's 4 x 100m Freestyle Relay,4,4,3,11
Denmark,Denmark,Swimming,Women's 4 x 100m Freestyle Relay,3,4,4,11
Denmark,Denmark,Swimming,Women's 4 x 100m Medley Relay,3,4,4,11
France,France,Swimming,Men's 4 x 100m Freestyle Relay,10,12,11,33
France,France,Swimming,Men's 4 x 100m Medley Relay,10,12,11,33
France,France,Swimming,Men's 4 x 200m Freestyle Relay,10,12,11,33
France,France,Swimming,Women's 4 x 100m Freestyle Relay,10,12,11,33
France,France,Swimming,Women's 4 x 200m Freestyle Relay,10,12,11,33
Germany,Germany,Swimming,Men's 4 x 100m Freestyle Relay,10,11,16,37
Germany,Germany,Swimming,Men's 4 x 100m Medley Relay,10,11,16,37
Germany,Germany,Swimming,Men's 4 x 200m Freestyle Relay,10,11,16,37
Germany,Germany,Swimming,Mixed 4 x 100m Medley Relay,10,11,16,37
Germany,Germany,Swimming,Women's 4 x 100m Freestyle Relay,10,11,16,37
Germany,Germany,Swimming,Women's 4 x 100m Medley Relay,10,11,16,37
Germany,Germany,Swimming,Women's 4 x 200m Freestyle Relay,10,11,16,37
Great Britain,Great Britain,Swimming,Men's 4 x 100m Freestyle Relay,22,21,22,65
Great Britain,Great Britain,Swimming,Men's 4 x 100m Medley Relay,22,21,22,65
Great Britain,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,22,21,22,65
Great Britain,Great Britain,Swimming,Mixed 4 x 100m Medley Relay,22,21,22,65
Great Britain,Great Britain,Swimming,Women's 4 x 100m Freestyle Relay,22,21,22,65
Great Britain,Great Britain,Swimming,Women's 4 x 100m Medley Relay,22,21,22,65
Greece,Greece,Swimming,Men's 4 x 100m Freestyle Relay,2,1,1,4
Greece,Greece,Swimming,Men's 4 x 100m Medley Relay,2,1,1,4
Greece,Greece,Swimming,Mixed 4 x 100m Medley Relay,2,1,1,4
"Hong Kong, China","Hong Kong, China",Swimming,Women's 4 x 100m Freestyle Relay,1,2,3,6
"Hong Kong, China","Hong Kong, China",Swimming,Women's 4 x 100m Medley Relay,1,2,3,6
"Hong Kong, China","Hong Kong, China",Swimming,Women's 4 x 200m Freestyle Relay,1,2,3,6
Hungary,Hungary,Swimming,Men's 4 x 100m Freestyle Relay,6,7,7,20
Hungary,Hungary,Swimming,Men's 4 x 100m Medley Relay,6,7,7,20
Hungary,Hungary,Swimming,Men's 4 x 200m Freestyle Relay,6,7,7,20
Hungary,Hungary,Swimming,Mixed 4 x 100m Medley Relay,6,7,7,20
Hungary,Hungary,Swimming,Women's 4 x 200m Freestyle Relay,6,7,7,20
Ireland,Ireland,Swimming,Men's 4 x 200m Freestyle Relay,2,0,2,4
Israel,Israel,Swimming,Men's 4 x 200m Freestyle Relay,2,0,2,4
Israel,Israel,Swimming,Mixed 4 x 100m Medley Relay,2,0,2,4
Italy,Italy,Swimming,Men's 4 x 100m Freestyle Relay,10,10,20,40
Italy,Italy,Swimming,Men's 4 x 100m Medley Relay,10,10,20,40
Italy,Italy,Swimming,Men's 4 x 200m Freestyle Relay,10,10,20,40
Italy,Italy,Swimming,Mixed 4 x 100m Medley Relay,10,10,20,40
Italy,Italy,Swimming,Women's 4 x 100m Medley Relay,10,10,20,40
Italy,Italy,Swimming,Women's 4 x 200m Freestyle Relay,10,10,20,40
Japan,Japan,Swimming,Men's 4 x 100m Freestyle Relay,27,14,17,58
Japan,Japan,Swimming,Men's 4 x 100m Medley Relay,27,14,17,58
Japan,Japan,Swimming,Men's 4 x 200m Freestyle Relay,27,14,17,58
Japan,Japan,Swimming,Mixed 4 x 100m Medley Relay,27,14,17,58
Japan,Japan,Swimming,Women's 4 x 100m Freestyle Relay,27,14,17,58
Japan,Japan,Swimming,Women's 4 x 100m Medley Relay,27,14,17,58
Japan,Japan,Swimming,Women's 4 x 200m Freestyle Relay,27,14,17,58
Lithuania,Lithuania,Swimming,Men's 4 x 100m Medley Relay,0,1,0,1
Netherlands,Netherlands,Swimming,Men's 4 x 100m Freestyle Relay,10,12,14,36
Netherlands,Netherlands,Swimming,Mixed 4 x 100m Medley Relay,10,12,14,36
Netherlands,Netherlands,Swimming,Women's 4 x 100m Freestyle Relay,10,12,14,36
Netherlands,Netherlands,Swimming,Women's 4 x 100m Medley Relay,10,12,14,36
New Zealand,New Zealand,Swimming,Women's 4 x 200m Freestyle Relay,7,6,7,20
Poland,Poland,Swimming,Men's 4 x 100m Freestyle Relay,4,5,5,14
Poland,Poland,Swimming,Men's 4 x 100m Medley Relay,4,5,5,14
