Team/Country,Name,Discipline,Event,Total Gold,Total Silver,Total Bronze,Total Medals
Netherlands,Netherlands,Artistic Gymnastics,Women's Team,10,12,14,36
Republic of Korea,Korea,Artistic Gymnastics,Men's Team,6,4,10,20
ROC,ROC,Artistic Gymnastics,Men's Team,20,28,23,71
ROC,ROC,Artistic Gymnastics,Women's Team,20,28,23,71
Spain,Spain,Artistic Gymnastics,Men's Team,3,8,6,17
Spain,Spain,Artistic Gymnastics,Women's Team,3,8,6,17
Switzerland,Switzerland,Artistic Gymnastics,Men's Team,3,4,6,13
Ukraine,Ukraine,Artistic Gymnastics,Men's Team,1,6,12,19
United States of America,United States,Artistic Gymnastics,Men's Team,39,41,33,113
United States of America,United States,Artistic Gymnastics,Women's Team,39,41,33,113
Australia,Australia,Artistic Swimming,Duet,17,7,22,46
Australia,Australia,Artistic Swimming,Team,17,7,22,46
Austria,Austria,Artistic Swimming,Duet,1,1,5,7
Belarus,Belarus,Artistic Swimming,Duet,1,3,3,7
Canada,Canada,Artistic Swimming,Duet,7,6,11,24
Canada,Canada,Artistic Swimming,Team,7,6,11,24
People's Republic of China,China,Artistic Swimming,Duet,38,32,18,88
People's Republic of China,China,Artistic Swimming,Team,38,32,18,88
Colombia,Colombia,Artistic Swimming,Duet,0,4,1,5
Egypt,Egypt,Artistic Swimming,Duet,1,1,4,6
Egypt,Egypt,Artistic Swimming,Team,1,1,4,6
France,France,Artistic Swimming,Duet,10,12,11,33
Great Britain,Great Britain,Artistic Swimming,Duet,22,21,22,65
Greece,Greece,Artistic Swimming,Duet,2,1,1,4
Greece,Greece,Artistic Swimming,Team,2,1,1,4
Israel,Israel,Artistic Swimming,Duet,2,0,2,4
Italy,Italy,Artistic Swimming,Duet,10,10,20,40
Italy,Italy,Artistic Swimming,Team,10,10,20,40
Japan,Japan,Artistic Swimming,Duet,27,14,17,58
Japan,Japan,Artistic Swimming,Team,27,14,17,58
Kazakhstan,Kazakhstan,Artistic Swimming,Duet,0,0,8,8
Mexico,Mexico,Artistic Swimming,Duet,0,0,4,4
Netherlands,Netherlands,Artistic Swimming,Duet,10,12,14,36
ROC,ROC,Artistic Swimming,Duet,20,28,23,71
ROC,ROC,Artistic Swimming,Team,20,28,23,71
South Africa,South Africa,Artistic Swimming,Duet,1,2,0,3
Spain,Spain,Artistic Swimming,Duet,3,8,6,17
Spain,Spain,Artistic Swimming,Team,3,8,6,17
Ukraine,Ukraine,Artistic Swimming,Duet,1,6,12,19
Ukraine,Ukraine,Artistic Swimming,Team,1,6,12,19
United States of America,United States,Artistic Swimming,Duet,39,41,33,113
Australia,Australia,Athletics,Women's 4 x 400m Relay,17,7,22,46
Bahamas,Bahamas,Athletics,Women's 4 x 400m Relay,2,0,0,2
Belarus,Belarus,Athletics,Women's 4 x 400m Relay,1,3,3,7
Belgium,Belgium,Athletics,4 x 400m Relay Mixed,3,1,3,7
Belgium,Belgium,Athletics,Men's 4 x 400m Relay,3,1,3,7
Belgium,Belgium,Athletics,Women's 4 x 400m Relay,3,1,3,7
Botswana,Botswana,Athletics,Men's 4 x 400m Relay,0,0,1,1
Brazil,Brazil,Athletics,4 x 400m Relay Mixed,7,6,8,21
Brazil,Brazil,Athletics,Men's 4 x 100m Relay,7,6,8,21
Brazil,Brazil,Athletics,Women's 4 x 100m Relay,7,6,8,21
Canada,Canada,Athletics,Men's 4 x 100m Relay,7,6,11,24
Canada,Canada,Athletics,Women's 4 x 400m Relay,7,6,11,24
People's Republic of China,China,Athletics,Men's 4 x 100m Relay,38,32,18,88
People's Republic of China,China,Athletics,Women's 4 x 100m Relay,38,32,18,88
Colombia,Colombia,Athletics,Men's 4 x 400m Relay,0,4,1,5
Cuba,Cuba,Athletics,Women's 4 x 400m Relay,7,3,5,15
Czech Republic,Czech Republic,Athletics,Men's 4 x 400m Relay,4,4,3,11
Denmark,Denmark,Athletics,Men's 4 x 100m Relay,3,4,4,11
Denmark,Denmark,Athletics,Women's 4 x 100m Relay,3,4,4,11
Dominican Republic,Dominican Rep.,Athletics,4 x 400m Relay Mixed,0,3,2,5
Ecuador,Ecuador,Athletics,Women's 4 x 100m Relay,2,1,0,3
France,France,Athletics,Men's 4 x 100m Relay,10,12,11,33
France,France,Athletics,Men's 4 x 400m Relay,10,12,11,33
France,France,Athletics,Women's 4 x 100m Relay,10,12,11,33
France,France,Athletics,Women's 4 x 400m Relay,10,12,11,33
Germany,Germany,Athletics,4 x 400m Relay Mixed,10,11,16,37
Germany,Germany,Athletics,Men's 4 x 100m Relay,10,11,16,37
Germany,Germany,Athletics,Men's 4 x 400m Relay,10,11,16,37
Germany,Germany,Athletics,Women's 4 x 100m Relay,10,11,16,37
Germany,Germany,Athletics,Women's 4 x 400m Relay,10,11,16,37
Ghana,Ghana,Athletics,Men's 4 x 100m Relay,0,0,1,1
Great Britain,Great Britain,Athletics,4 x 400m Relay Mixed,22,21,22,65
Great Britain,Great Britain,Athletics,Men's 4 x 100m Relay,22,21,22,65
Great Britain,Great Britain,Athletics,Men's 4 x 400m Relay,22,21,22,65
Great Britain,Great Britain,Athletics,Women's 4 x 100m Relay,22,21,22,65
Great Britain,Great Britain,Athletics,Women's 4 x 400m Relay,22,21,22,65
India,India,Athletics,4 x 400m Relay Mixed,1,2,4,7
India,India,Athletics,Men's 4 x 400m Relay,1,2,4,7
Ireland,Ireland,Athletics,4 x 400m Relay Mixed,2,0,2,4
Italy,Italy,Athletics,4 x 400m Relay Mixed,10,10,20,40
Italy,Italy,Athletics,Men's 4 x 100m Relay,10,10,20,40
Italy,Italy,Athletics,Men's 4 x 400m Relay,10,10,20,40
Italy,Italy,Athletics,Women's 4 x 100m Relay,10,10,20,40
Italy,Italy,Athletics,Women's 4 x 400m Relay,10,10,20,40
Jamaica,Jamaica,Athletics,4 x 400m Relay Mixed,4,1,4,9
Jamaica,Jamaica,Athletics,Men's 4 x 100m Relay,4,1,4,9
Jamaica,Jamaica,Athletics,Men's 4 x 400m Relay,4,1,4,9
Jamaica,Jamaica,Athletics,Women's 4 x 100m Relay,4,1,4,9
Jamaica,Jamaica,Athletics,Women's 4 x 400m Relay,4,1,4,9
Japan,Japan,Athletics,Men's 4 x 100m Relay,27,14,17,58
Japan,Japan,Athletics,Men's 4 x 400m Relay,27,14,17,58
Japan,Japan,Athletics,Women's 4 x 100m Relay,27,14,17,58
Netherlands,Netherlands,Athletics,4 x 400m Relay Mixed,10,12,14,36
Netherlands,Netherlands,Athletics,Men's 4 x 100m Relay,10,12,14,36
Netherlands,Netherlands,Athletics,Men's 4 x 400m Relay,10,12,14,36
Netherlands,Netherlands,Athletics,Women's 4 x 100m Relay,10,12,14,36
Netherlands,Netherlands,Athletics,Women's 4 x 400m Relay,10,12,14,36
Nigeria,Nigeria,Athletics,4 x 400m Relay Mixed,0,1,1,2
Nigeria,Nigeria,Athletics,Women's 4 x 100m Relay,0,1,1,2
Poland,Poland,Athletics,4 x 400m Relay Mixed,4,5,5,14
Poland,Poland,Athletics,Men's 4 x 400m Relay,4,5,5,14
Poland,Poland,Athletics,Women's 4 x 100m Relay,4,5,5,14
Poland,Poland,Athletics,Women's 4 x 400m Relay,4,5,5,14
South Africa,South Africa,Athletics,Men's 4 x 100m Relay,1,2,0,3
South Africa,South Africa,Athletics,Men's 4 x 400m Relay,1,2,0,3
Spain,Spain,Athletics,4 x 400m Relay Mixed,3,8,6,17
Switzerland,Switzerland,Athletics,Women's 4 x 100m Relay,3,4,6,13
Switzerland,Switzerland,Athletics,Women's 4 x 400m Relay,3,4,6,13
Turkey,Turkey,Athletics,Men's 4 x 100m Relay,2,2,9,13
Ukraine,Ukraine,Athletics,4 x 400m Relay Mixed,1,6,12,19
Ukraine,Ukraine,Athletics,Women's 4 x 400m Relay,1,6,12,19
United States of America,United States,Athletics,4 x 400m Relay Mixed,39,41,33,113
United States of America,United States,Athletics,Men's 4 x 100m Relay,39,41,33,113
United States of America,United States,Athletics,Men's 4 x 400m Relay,39,41,33,113
United States of America,United States,Athletics,Women's 4 x 100m Relay,39,41,33,113
United States of America,United States,Athletics,Women's 4 x 400m Relay,39,41,33,113
Australia,Australia,Baseball/Softball,Softball,17,7,22,46
Canada,Canada,Baseball/Softball,Softball,7,6,11,24
Dominican Republic,Dominican Rep.,Baseball/Softball,Baseball,0,3,2,5
Israel,Israel,Baseball/Softball,Baseball,2,0,2,4
Italy,Italy,Baseball/Softball,Softball,10,10,20,40
Japan,Japan,Baseball/Softball,Baseball,27,14,17,58
Japan,Japan,Baseball/Softball,Softball,27,14,17,58
Mexico,Mexico,Baseball/Softball,Baseball,0,0,4,4
Mexico,Mexico,Baseball/Softball,Softball,0,0,4,4
Republic of Korea,Republic of Korea,Baseball/Softball,Baseball,6,4,10,20
United States of America,United States,Baseball/Softball,Baseball,39,41,33,113
United States of America,United States,Baseball/Softball,Softball,39,41,33,113
Argentina,Argentina,Basketball,Men,0,1,2,3
Australia,Australia,Basketball,Men,17,7,22,46
Australia,Australia,Basketball,Women,17,7,22,46
Belgium,Belgium,Basketball,Women,3,1,3,7
Canada,Canada,Basketball,Women,7,6,11,24
People's Republic of China,China,Basketball,Women,38,32,18,88
Czech Republic,Czech Republic,Basketball,Men,4,4,3,11
France,France,Basketball,Men,10,12,11,33
France,France,Basketball,Women,10,12,11,33
Germany,Germany,Basketball,Men,10,11,16,37
Islamic Republic of Iran,Islamic Rep. of Iran,Basketball,Men,3,2,2,7
Italy,Italy,Basketball,Men,10,10,20,40
Japan,Japan,Basketball,Men,27,14,17,58
Japan,Japan,Basketball,Women,27,14,17,58
Nigeria,Nigeria,Basketball,Men,0,1,1,2
Nigeria,Nigeria,Basketball,Women,0,1,1,2
Puerto Rico,Puerto Rico,Basketball,Women,1,0,0,1
Republic of Korea,Republic of Korea,Basketball,Women,6,4,10,20
Serbia,Serbia,Basketball,Women,3,1,5,9
Slovenia,Slovenia,Basketball,Men,3,1,1,5
Spain,Spain,Basketball,Men,3,8,6,17
Spain,Spain,Basketball,Women,3,8,6,17
United States of America,United States,Basketball,Men,39,41,33,113
United States of America,United States,Basketball,Women,39,41,33,113
Argentina,Azaad/Capogrosso,Beach Volleyball,Men,0,1,2,3
Argentina,Gallay/Pereyra,Beach Volleyball,Women,0,1,2,3
Australia,McHugh/Schumann,Beach Volleyball,Men,17,7,22,46
Australia,Artacho Del Solar/Clancy,Beach Volleyball,Women,17,7,22,46
Brazil,Alison/Alvaro Filho,Beach Volleyball,Men,7,6,8,21
Brazil,Evandro/Bruno Schmidt,Beach Volleyball,Men,7,6,8,21
Brazil,Ana Patricia/Rebecca,Beach Volleyball,Women,7,6,8,21
Brazil,Agatha/Duda,Beach Volleyball,Women,7,6,8,21
Canada,Bansley/Brandie,Beach Volleyball,Women,7,6,11,24
Canada,Pavan/Melissa,Beach Volleyball,Women,7,6,11,24
People's Republic of China,Wang/X.Y.Xia,Beach Volleyball,Women,38,32,18,88
People's Republic of China,Xue/Wang X.X.,Beach Volleyball,Women,38,32,18,88
Cuba,Lidy/Leila,Beach Volleyball,Women,7,3,5,15
Czech Republic,Perusic/Schweiner,Beach Volleyball,Men,4,4,3,11
Czech Republic,Hermannova/Slukova,Beach Volleyball,Women,4,4,3,11
Germany,Thole J./Wickler,Beach Volleyball,Men,10,11,16,37
Germany,Ludwig/Kozuch,Beach Volleyball,Women,10,11,16,37
Germany,Sude/Borger,Beach Volleyball,Women,10,11,16,37
Italy,Nicolai/Lupo,Beach Volleyball,Men,10,10,20,40
Italy,Carambula/Rossi,Beach Volleyball,Men,10,10,20,40
Italy,Menegatti/Orsi Toth,Beach Volleyball,Women,10,10,20,40
Japan,Gottsu/Shiratori,Beach Volleyball,Men,27,14,17,58
Japan,Ishii/Murakami,Beach Volleyball,Women,27,14,17,58
Kenya,Makokha/Khadambi,Beach Volleyball,Women,4,4,2,10
Latvia,Plavins/Tocs,Beach Volleyball,Men,1,0,1,2
Latvia,Graudina/Kravcenoka,Beach Volleyball,Women,1,0,1,2
Mexico,Gaxiola/Rubio,Beach Volleyball,Men,0,0,4,4
Morocco,Abicha/Elgraoui,Beach Volleyball,Men,1,0,0,1
Netherlands,Brouwer/Meeuwsen,Beach Volleyball,Men,10,12,14,36
Netherlands,Keizer/Meppelink,Beach Volleyball,Women,10,12,14,36
Netherlands,Stam/Schoon,Beach Volleyball,Women,10,12,14,36
Norway,Mol A./Sorum C.,Beach Volleyball,Men,4,2,2,8
Poland,Bryl/Fijalek,Beach Volleyball,Men,4,5,5,14
Poland,Kantor/Losiak,Beach Volleyball,Men,4,5,5,14
Qatar,Cherif/Ahmed,Beach Volleyball,Men,2,0,1,3
ROC,Krasilnikov/Stoyanovskiy,Beach Volleyball,Men,20,28,23,71
ROC,Leshukov/Semenov,Beach Volleyball,Men,20,28,23,71
ROC,Makroguzova/Kholomina,Beach Volleyball,Women,20,28,23,71
Spain,Herrera/Gavira,Beach Volleyball,Men,3,8,6,17
Spain,Liliana/Elsa,Beach Volleyball,Women,3,8,6,17
Switzerland,Heidrich/Gerson,Beach Volleyball,Men,3,4,6,13
Switzerland,Huberli/Betschart,Beach Volleyball,Women,3,4,6,13
Switzerland,"Verge-Depre, A./Heidrich",Beach Volleyball,Women,3,4,6,13
United States of America,Gibb/Bourne,Beach Volleyball,Men,39,41,33,113
United States of America,Lucena/Dalhausser,Beach Volleyball,Men,39,41,33,113
United States of America,April/Alix,Beach Volleyball,Women,39,41,33,113
United States of America,Claes/Sponcil,Beach Volleyball,Women,39,41,33,113
Australia,Australia,Cycling Track,Men's Madison,17,7,22,46
Australia,Australia,Cycling Track,Men's Team Pursuit,17,7,22,46
Australia,Australia,Cycling Track,Men's Team Sprint,17,7,22,46
Australia,Australia,Cycling Track,Women's Madison,17,7,22,46
Australia,Australia,Cycling Track,Women's Team Pursuit,17,7,22,46
Austria,Austria,Cycling Track,Men's Madison,1,1,5,7
Belgium,Belgium,Cycling Track,Men's Madison,3,1,3,7
Belgium,Belgium,Cycling Track,Women's Madison,3,1,3,7
Canada,Canada,Cycling Track,Men's Madison,7,6,11,24
Canada,Canada,Cycling Track,Men's Team Pursuit,7,6,11,24
Canada,Canada,Cycling Track,Women's Madison,7,6,11,24
Canada,Canada,Cycling Track,Women's Team Pursuit,7,6,11,24
People's Republic of China,China,Cycling Track,Women's Team Sprint,38,32,18,88
Denmark,Denmark,Cycling Track,Men's Madison,3,4,4,11
Denmark,Denmark,Cycling Track,Men's Team Pursuit,3,4,4,11
Denmark,Denmark,Cycling Track,Women's Madison,3,4,4,11
France,France,Cycling Track,Men's Madison,10,12,11,33
France,France,Cycling Track,Men's Team Sprint,10,12,11,33
France,France,Cycling Track,Women's Madison,10,12,11,33
France,France,Cycling Track,Women's Team Pursuit,10,12,11,33
Germany,Germany,Cycling Track,Men's Madison,10,11,16,37
Germany,Germany,Cycling Track,Men's Team Pursuit,10,11,16,37
Germany,Germany,Cycling Track,Men's Team Sprint,10,11,16,37
Germany,Germany,Cycling Track,Women's Madison,10,11,16,37
Germany,Germany,Cycling Track,Women's Team Pursuit,10,11,16,37
Germany,Germany,Cycling Track,Women's Team Sprint,10,11,16,37
Great Britain,Great Britain,Cycling Track,Men's Madison,22,21,22,65
Great Britain,Great Britain,Cycling Track,Men's Team Pursuit,22,21,22,65
Great Britain,Great Britain,Cycling Track,Men's Team Sprint,22,21,22,65
Great Britain,Great Britain,Cycling Track,Women's Madison,22,21,22,65
Great Britain,Great Britain,Cycling Track,Women's Team Pursuit,22,21,22,65
"Hong Kong, China","Hong Kong, China",Cycling Track,Women's Madison,1,2,3,6
Ireland,Ireland,Cycling Track,Men's Madison,2,0,2,4
Ireland,Ireland,Cycling Track,Women's Madison,2,0,2,4
Italy,Italy,Cycling Track,Men's Madison,10,10,20,40
Italy,Italy,Cycling Track,Men's Team Pursuit,10,10,20,40
Italy,Italy,Cycling Track,Women's Madison,10,10,20,40
Italy,Italy,Cycling Track,Women's Team Pursuit,10,10,20,40
Japan,Japan,Cycling Track,Women's Madison,27,14,17,58
Lithuania,Lithuania,Cycling Track,Women's Team Sprint,0,1,0,1
Mexico,Mexico,Cycling Track,Women's Team Sprint,0,0,4,4
Netherlands,Netherlands,Cycling Track,Men's Madison,10,12,14,36
Netherlands,Netherlands,Cycling Track,Men's Team Sprint,10,12,14,36
Netherlands,Netherlands,Cycling Track,Women's Madison,10,12,14,36
Netherlands,Netherlands,Cycling Track,Women's Team Sprint,10,12,14,36
New Zealand,New Zealand,Cycling Track,Men's Madison,7,6,7,20
New Zealand,New Zealand,Cycling Track,Men's Team Pursuit,7,6,7,20
New Zealand,New Zealand,Cycling Track,Men's Team Sprint,7,6,7,20
New Zealand,New Zealand,Cycling Track,Women's Madison,7,6,7,20
New Zealand,New Zealand,Cycling Track,Women's Team Pursuit,7,6,7,20
Poland,Poland,Cycling Track,Men's Madison,4,5,5,14
Poland,Poland,Cycling Track,Men's Team Sprint,4,5,5,14
Poland,Poland,Cycling Track,Women's Madison,4,5,5,14
Poland,Poland,Cycling Track,Women's Team Sprint,4,5,5,14
ROC,ROC,Cycling Track,Men's Team Sprint,20,28,23,71
ROC,ROC,Cycling Track,Women's Madison,20,28,23,71
ROC,ROC,Cycling Track,Women's Team Sprint,20,28,23,71
Spain,Spain,Cycling Track,Men's Madison,3,8,6,17
Switzerland,Switzerland,Cycling Track,Men's Madison,3,4,6,13
Switzerland,Switzerland,Cycling Track,Men's Team Pursuit,3,4,6,13
Ukraine,Ukraine,Cycling Track,Women's Team Sprint,1,6,12,19
United States of America,United States,Cycling Track,Men's Madison,39,41,33,113
United States of America,United States,Cycling Track,Women's Madison,39,41,33,113
United States of America,United States,Cycling Track,Women's Team Pursuit,39,41,33,113
Canada,Canada,Fencing,Men's Foil Team,7,6,11,24
Canada,Canada,Fencing,Women's Foil Team,7,6,11,24
People's Republic of China,China,Fencing,Men's Épée Team,38,32,18,88
People's Republic of China,China,Fencing,Women's Épée Team,38,32,18,88
People's Republic of China,China,Fencing,Women's Sabre Team,38,32,18,88
Egypt,Egypt,Fencing,Men's Foil Team,1,1,4,6
Egypt,Egypt,Fencing,Men's Sabre Team,1,1,4,6
Egypt,Egypt,Fencing,Women's Foil Team,1,1,4,6
Estonia,Estonia,Fencing,Women's Épée Team,1,0,1,2
France,France,Fencing,Men's Épée Team,10,12,11,33
France,France,Fencing,Men's Foil Team,10,12,11,33
France,France,Fencing,Women's Foil Team,10,12,11,33
France,France,Fencing,Women's Sabre Team,10,12,11,33
Germany,Germany,Fencing,Men's Foil Team,10,11,16,37
Germany,Germany,Fencing,Men's Sabre Team,10,11,16,37
"Hong Kong, China","Hong Kong, China",Fencing,Men's Foil Team,1,2,3,6
"Hong Kong, China","Hong Kong, China",Fencing,Women's Épée Team,1,2,3,6
Hungary,Hungary,Fencing,Men's Sabre Team,6,7,7,20
Hungary,Hungary,Fencing,Women's Foil Team,6,7,7,20
Hungary,Hungary,Fencing,Women's Sabre Team,6,7,7,20
Islamic Republic of Iran,Islamic Rep. of Iran,Fencing,Men's Sabre Team,3,2,2,7
Italy,Italy,Fencing,Men's Épée Team,10,10,20,40
Italy,Italy,Fencing,Men's Foil Team,10,10,20,40
Italy,Italy,Fencing,Men's Sabre Team,10,10,20,40
Italy,Italy,Fencing,Women's Épée Team,10,10,20,40
Italy,Italy,Fencing,Women's Foil Team,10,10,20,40
Italy,Italy,Fencing,Women's Sabre Team,10,10,20,40
Japan,Japan,Fencing,Men's Épée Team,27,14,17,58
Japan,Japan,Fencing,Men's Foil Team,27,14,17,58
Japan,Japan,Fencing,Men's Sabre Team,27,14,17,58
Japan,Japan,Fencing,Women's Foil Team,27,14,17,58
Japan,Japan,Fencing,Women's Sabre Team,27,14,17,58
Poland,Poland,Fencing,Women's Épée Team,4,5,5,14
Republic of Korea,Republic of Korea,Fencing,Men's Épée Team,6,4,10,20
Republic of Korea,Republic of Korea,Fencing,Men's Sabre Team,6,4,10,20
Republic of Korea,Republic of Korea,Fencing,Women's Épée Team,6,4,10,20
Republic of Korea,Republic of Korea,Fencing,Women's Sabre Team,6,4,10,20
ROC,ROC,Fencing,Men's Épée Team,20,28,23,71
ROC,ROC,Fencing,Men's Foil Team,20,28,23,71
ROC,ROC,Fencing,Men's Sabre Team,20,28,23,71
ROC,ROC,Fencing,Women's Épée Team,20,28,23,71
ROC,ROC,Fencing,Women's Foil Team,20,28,23,71
ROC,ROC,Fencing,Women's Sabre Team,20,28,23,71
Switzerland,Switzerland,Fencing,Men's Épée Team,3,4,6,13
Tunisia,Tunisia,Fencing,Women's Sabre Team,1,1,0,2
Ukraine,Ukraine,Fencing,Men's Épée Team,1,6,12,19
United States of America,United States,Fencing,Men's Épée Team,39,41,33,113
